전월세구분,dong,도로명,시군구,번지,도로조건,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,address
월세,만성동,월방1길,3,3,3,3,3,3,3,3,3,3
월세,만성동,월방2길,1,1,1,1,1,1,1,1,1,1
월세,만성동,월방3길,7,7,7,7,7,7,7,7,6,7
월세,만성동,월방5길,1,1,1,1,1,1,1,1,1,1
월세,만성동,월방6길,3,3,3,3,3,3,3,3,2,3
월세,만성동,월방7길,2,2,2,2,2,2,2,2,2,2
월세,만성동,월방8길,4,4,4,4,4,4,4,4,4,4
월세,반월동,반월4길,1,1,1,1,1,1,1,1,1,1
월세,산정동,건산로,3,3,3,3,3,3,3,3,3,3
월세,산정동,산정2길,3,3,3,3,3,3,3,3,3,3
월세,산정동,아중천1길,1,1,1,1,1,1,1,1,0,1
월세,산정동,아중천2길,11,11,11,11,11,11,11,11,6,11
월세,송천동1가,두간11길,1,1,1,1,1,1,1,1,1,1
월세,송천동1가,두간3길,1,1,1,1,1,1,1,1,1,1
월세,송천동1가,두간9길,1,1,1,1,1,1,1,1,1,1
월세,송천동1가,사근1길,1,1,1,1,1,1,1,1,1,1
월세,송천동1가,솔내1길,22,22,22,22,22,22,22,22,14,22
월세,송천동1가,솔내2길,13,13,13,13,13,13,13,13,12,13
월세,송천동1가,솔내3길,1,1,1,1,1,1,1,1,1,1
월세,송천동1가,솔내4길,5,5,5,5,5,5,5,5,5,5
월세,송천동1가,솔내5길,12,12,12,12,12,12,12,12,11,12
월세,송천동1가,솔내6길,4,4,4,4,4,4,4,4,4,4
월세,송천동1가,솔내7길,5,5,5,5,5,5,5,5,5,5
월세,송천동1가,솔내8길,14,14,14,14,14,14,14,14,11,14
월세,송천동1가,솔내9길,14,14,14,14,14,14,14,14,12,14
월세,송천동1가,송천1길,3,3,3,3,3,3,3,3,2,3
월세,송천동1가,송천2길,1,1,1,1,1,1,1,1,1,1
월세,송천동1가,송천3길,7,7,7,7,7,7,7,7,7,7
월세,송천동1가,송천4길,2,2,2,2,2,2,2,2,2,2
월세,송천동1가,송천로,20,20,20,20,20,20,20,20,19,20
월세,송천동1가,송천중앙로,4,4,4,4,4,4,4,4,4,4
월세,송천동1가,시천로,8,8,8,8,8,8,8,8,7,8
월세,송천동1가,오송1길,3,3,3,3,3,3,3,3,3,3
월세,송천동1가,천마산로,6,6,6,6,6,6,6,6,5,6
월세,송천동2가,동부대로,1,1,1,1,1,1,1,1,1,1
월세,송천동2가,붓내1길,6,6,6,6,6,6,6,6,5,6
월세,송천동2가,붓내2길,2,2,2,2,2,2,2,2,2,2
월세,송천동2가,붓내3길,3,3,3,3,3,3,3,3,3,3
월세,송천동2가,붓내4길,6,6,6,6,6,6,6,6,6,6
월세,송천동2가,붓내5길,4,4,4,4,4,4,4,4,4,4
월세,송천동2가,사근1길,4,4,4,4,4,4,4,4,4,4
월세,송천동2가,솔내로,4,4,4,4,4,4,4,4,4,4
월세,송천동2가,와룡1길,2,2,2,2,2,2,2,2,0,2
월세,송천동2가,와룡로,2,2,2,2,2,2,2,2,2,2
월세,송천동2가,천마산로,10,10,10,10,10,10,10,10,10,10
월세,여의동,여암1길,3,3,3,3,3,3,3,3,3,3
월세,여의동,여암2길,3,3,3,3,3,3,3,3,3,3
월세,여의동,용정길,2,2,2,2,2,2,2,2,2,2
월세,여의동2가,덕용1길,7,7,7,7,7,7,7,7,6,7
월세,여의동2가,덕용2길,2,2,2,2,2,2,2,2,1,2
월세,여의동2가,덕용4길,7,7,7,7,7,7,7,7,5,7
월세,여의동2가,쪽구름1길,2,2,2,2,2,2,2,2,2,2
월세,여의동2가,쪽구름2길,1,1,1,1,1,1,1,1,1,1
월세,여의동2가,쪽구름3길,3,3,3,3,3,3,3,3,3,3
월세,여의동2가,쪽구름5길,1,1,1,1,1,1,1,1,1,1
월세,여의동2가,쪽구름로,8,8,8,8,8,8,8,8,8,8
월세,여의동2가,편운로,1,1,1,1,1,1,1,1,1,1
월세,용정동,서당안길,1,1,1,1,1,1,1,1,0,1
월세,우아동1가,아중로,4,4,4,4,4,4,4,4,2,4
월세,우아동1가,인교1길,4,4,4,4,4,4,4,4,4,4
월세,우아동1가,인교2길,2,2,2,2,2,2,2,2,2,2
월세,우아동1가,인교3길,15,15,15,15,15,15,15,15,6,15
월세,우아동1가,인교4길,13,13,13,13,13,13,13,13,8,13
월세,우아동1가,인교5길,5,5,5,5,5,5,5,5,4,5
월세,우아동1가,인교6길,10,10,10,10,10,10,10,10,5,10
월세,우아동1가,인교7길,5,5,5,5,5,5,5,5,3,5
월세,우아동1가,인교8길,8,8,8,8,8,8,8,8,6,8
월세,우아동1가,인교9길,12,12,12,12,12,12,12,12,8,12
월세,우아동1가,인교로,13,13,13,13,13,13,13,13,10,13
월세,우아동1가,한배미로,3,3,3,3,3,3,3,3,1,3
월세,우아동2가,석소1길,5,5,5,5,5,5,5,5,4,5
월세,우아동2가,석소2길,9,9,9,9,9,9,9,9,5,9
월세,우아동2가,석소3길,16,16,16,16,16,16,16,16,15,16
월세,우아동2가,석소4길,3,3,3,3,3,3,3,3,0,3
월세,우아동2가,석소5길,8,8,8,8,8,8,8,8,7,8
월세,우아동2가,석소로,4,4,4,4,4,4,4,4,4,4
월세,우아동2가,아중1길,10,10,10,10,10,10,10,10,7,10
월세,우아동2가,아중3길,11,11,11,11,11,11,11,11,5,11
월세,우아동2가,아중6길,7,7,7,7,7,7,7,7,4,7
월세,우아동2가,아중7길,7,7,7,7,7,7,7,7,6,7
월세,우아동2가,아중중앙로,10,10,10,10,10,10,10,10,4,10
월세,우아동2가,정언신로,5,5,5,5,5,5,5,5,4,5
월세,우아동2가,중상보로,8,8,8,8,8,8,8,8,7,8
월세,우아동2가,진버들6길,35,35,35,35,35,35,35,35,34,35
월세,우아동2가,진버들7길,1,1,1,1,1,1,1,1,0,1
월세,우아동3가,도당산2길,2,2,2,2,2,2,2,2,2,2
월세,우아동3가,도당산3길,2,2,2,2,2,2,2,2,1,2
월세,우아동3가,도당산4길,20,20,20,20,20,20,20,20,16,20
월세,우아동3가,도당산로,6,6,6,6,6,6,6,6,6,6
월세,우아동3가,동부대로,2,2,2,2,2,2,2,2,2,2
월세,우아동3가,신기1길,1,1,1,1,1,1,1,1,1,1
월세,우아동3가,안골5길,3,3,3,3,3,3,3,3,3,3
월세,우아동3가,안골6길,2,2,2,2,2,2,2,2,1,2
월세,우아동3가,안덕원1길,1,1,1,1,1,1,1,1,0,1
