addr,lat,long,house_amount,park,river,cctv,pol,conv,bus,bus_stop,pharmacy,mono_avg_deposit_month,mono_avg_deposit_all,mono_avg_fee_month,mono_total_count_month,mono_total_count_all,row_avg_deposit_month,row_avg_deposit_all,row_avg_fee_month,row_total_count_month,row_total_count_all,office_avg_deposit_month,office_avg_deposit_all,office_avg_fee_month,office_total_count_month,office_total_count_all
전라북도 전주시 덕진구 우아동1가,127.2,35.82,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 인후동1가,127.16,35.84,97.0,0.0,1.0,49.0,1.0,3.0,50.0,13.0,34.0,2864.209876493827,5362.813953511628,24.382716050246916,82.0,44.0,500.5,3020.2,30.5,3.0,6.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 호성동1가,127.15,35.86,5.0,0.0,1.0,18.0,1.0,2.0,48.0,9.0,14.0,500.5,3400.5,30.5,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 인후동2가,127.15,35.85,103.0,0.0,0.0,37.0,0.0,5.0,100.0,11.0,40.0,1978.6071428214286,5523.857142999999,29.928571429642858,29.0,22.0,600.5,0.0,33.0,3.0,1.0,1000.5,6001.0,30.5,3.0,2.0
전라북도 전주시 덕진구 우아동3가,127.16,35.86,1.0,0.0,1.0,10.0,0.0,3.0,31.0,7.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 중노송동,127.16,35.83,375.0,1.0,1.0,62.0,1.0,8.0,53.0,16.0,31.0,2076.114814811111,5499.481675471206,27.60740740707407,271.0,192.0,1233.4444444444443,4132.0,27.88888888888889,10.0,12.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 중노송동,127.15,35.83,119.0,0.0,0.0,59.0,2.0,2.0,107.0,10.0,59.0,1976.7333332888888,4716.683333316667,23.377777777777776,46.0,61.0,1267.0,5333.666666666667,32.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 장동,127.06,35.85,1.0,0.0,0.0,10.0,0.0,1.0,13.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 덕진구 중동,127.06,35.84,28.0,0.0,0.0,30.0,1.0,3.0,21.0,9.0,1.0,4782.411764941176,8750.25,42.35294117764706,18.0,5.0,0.0,0.0,0.0,1.0,1.0,1608.6379310344828,15442.792857142855,44.758620689655174,59.0,141.0
전라북도 전주시 덕진구 전미동1가,127.13,35.88,2.0,0.0,0.0,5.0,0.0,4.0,24.0,10.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
