전월세구분,dong,도로명,시군구,번지,도로조건,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,address
월세,중노송동,물왕멀로,6,6,6,6,6,6,6,6,4,6
월세,중노송동,아중로,2,2,2,2,2,2,2,2,2,2
월세,중노송동,인봉2길,2,2,2,2,2,2,2,2,2,2
월세,중노송동,인봉로,4,4,4,4,4,4,4,4,4,4
월세,중앙동4가,전라감영로,2,2,2,2,2,2,2,2,2,2
월세,중앙동4가,풍남문4길,1,1,1,1,1,1,1,1,1,1
월세,중인동,중인2길,1,1,1,1,1,1,1,1,0,1
월세,중화산동1가,강당2길,2,2,2,2,2,2,2,2,1,2
월세,중화산동1가,강당4길,1,1,1,1,1,1,1,1,1,1
월세,중화산동1가,따박골9길,6,6,6,6,6,6,6,6,6,6
월세,중화산동1가,서원로,2,2,2,2,2,2,2,2,2,2
월세,중화산동1가,선너머3길,12,12,12,12,12,12,12,12,11,12
월세,중화산동1가,선너머4길,2,2,2,2,2,2,2,2,1,2
월세,중화산동2가,따박골2길,2,2,2,2,2,2,2,2,2,2
월세,중화산동2가,따박골5길,3,3,3,3,3,3,3,3,3,3
월세,중화산동2가,따박골6길,3,3,3,3,3,3,3,3,3,3
월세,중화산동2가,따박골8길,8,8,8,8,8,8,8,8,6,8
월세,중화산동2가,따박골9길,3,3,3,3,3,3,3,3,3,3
월세,중화산동2가,따박골로,1,1,1,1,1,1,1,1,1,1
월세,중화산동2가,메너머1길,13,13,13,13,13,13,13,13,11,13
월세,중화산동2가,메너머2길,37,37,37,37,37,37,37,37,35,37
월세,중화산동2가,메너머3길,31,31,31,31,31,31,31,31,27,31
월세,중화산동2가,메너머4길,6,6,6,6,6,6,6,6,6,6
월세,중화산동2가,산월1길,2,2,2,2,2,2,2,2,2,2
월세,중화산동2가,산월2길,3,3,3,3,3,3,3,3,3,3
월세,중화산동2가,서원로,1,1,1,1,1,1,1,1,1,1
월세,중화산동2가,선너머1길,1,1,1,1,1,1,1,1,1,1
월세,중화산동2가,선너머2길,6,6,6,6,6,6,6,6,5,6
월세,중화산동2가,선너머3길,7,7,7,7,7,7,7,7,7,7
월세,중화산동2가,선너머로,7,7,7,7,7,7,7,7,7,7
월세,중화산동2가,신촌1길,4,4,4,4,4,4,4,4,4,4
월세,중화산동2가,신촌2길,3,3,3,3,3,3,3,3,2,3
월세,중화산동2가,신촌4길,4,4,4,4,4,4,4,4,4,4
월세,중화산동2가,어은로,2,2,2,2,2,2,2,2,2,2
월세,중화산동2가,영경3길,2,2,2,2,2,2,2,2,2,2
월세,중화산동2가,영선로,4,4,4,4,4,4,4,4,4,4
월세,중화산동2가,인정1길,8,8,8,8,8,8,8,8,8,8
월세,중화산동2가,인정2길,3,3,3,3,3,3,3,3,3,3
월세,중화산동2가,인정3길,9,9,9,9,9,9,9,9,9,9
월세,중화산동2가,인정4길,5,5,5,5,5,5,5,5,5,5
월세,중화산동2가,인정로,2,2,2,2,2,2,2,2,2,2
월세,중화산동2가,중산10길,1,1,1,1,1,1,1,1,1,1
월세,중화산동2가,중산1길,9,9,9,9,9,9,9,9,9,9
월세,중화산동2가,중산2길,4,4,4,4,4,4,4,4,4,4
