전월세구분,dong,도로명,시군구,번지,본번,부번,건물명,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,address
전세,인후동1가,서가재미1길 6-9,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,인후동1가,서가재미2길 14,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,인후동1가,안골1길 11-2,2,2,2,2,2,2,2,2,2,2,2,2,2
전세,인후동1가,안골1길 13,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,인후동1가,인후6길 10,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,인후동1가,인후6길 12,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,인후동1가,진버들2길 13,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,인후동1가,진버들2길 42,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,인후동1가,팽나무1길 27-3,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,인후동1가,팽나무3길 23,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,인후동1가,한배미1길 57-3,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,인후동1가,한배미4길 14-3,2,2,2,2,2,2,2,2,2,2,2,2,2
전세,인후동1가,한배미5길 23,2,2,2,2,2,2,2,2,2,2,2,2,2
전세,인후동1가,한배미6길 30-3,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,진북동,어은로 126,2,2,2,2,2,2,2,2,2,2,2,2,2
전세,팔복동1가,신복3길 12,2,2,2,2,2,2,2,2,2,2,2,2,2
전세,팔복동2가,추천로 119,1,1,1,1,1,1,1,1,1,1,1,1,1
전세,팔복동2가,팔복2길 3,1,1,1,1,1,1,1,1,1,1,1,1,1
