전월세구분,dong,도로명,본번,부번,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,loc,x,y,번지
월세,만성동,만성서로 77,1359.0,1.0,124.73,202005.0,7.0,33000.0,100.0,2.0,2020.0,전북 전주시 만성동 만성서로 77,127.07147440600001,35.844704763,1
월세,반월동,반월로 38-8,401.0,3.333333333333333,59.41,202037.33333333328,26.33333333333333,1000.0,36.66666666666666,3.0,2012.0,전북 전주시 반월동 반월로 38-8,127.069479479,35.875296346999995,3
월세,송천동1가,솔내7길 10-4,478.0,19.0,49.7,202012.0,3.0,500.0,42.0,2.0,2012.0,전북 전주시 송천동1가 솔내7길 10-4,127.121985584,35.859583805999996,1
월세,송천동1가,솔내8길 40-3,137.0,71.0,64.38,202008.0,8.0,1000.0,30.0,2.0,1983.0,전북 전주시 송천동1가 솔내8길 40-3,127.12582553,35.860547944000004,1
월세,송천동1가,송천2길 10,468.0,2.0,59.46,202009.0,19.0,500.0,30.0,1.0,1984.0,전북 전주시 송천동1가 송천2길 10,127.11993640799999,35.859952252,1
월세,송천동1가,송천로 55,424.0,3.0,59.49,202009.0,10.0,1000.0,20.0,2.0,1984.0,전북 전주시 송천동1가 송천로 55,127.117415639,35.858151829,1
월세,송천동1가,송천로 74,471.0,4.0,57.2,202011.0,8.0,1000.0,27.0,2.0,1985.0,전북 전주시 송천동1가 송천로 74,127.117905204,35.859928875,1
월세,여의동2가, 25-4,652.0,1.0,73.56,202101.0,15.0,1500.0,10.0,1.0,1989.0,전북 전주시 여의동2가  25-4,127.08036409799999,35.869179734,1
월세,여의동2가, 39,664.0,66.0,51.48,202009.0,7.0,211.0,3.0,1.0,1990.0,전북 전주시 여의동2가  39,127.079826344,35.873083406,1
월세,우아동1가,인교9길 21-8,1119.0,1.0,19.84,202054.5,14.5,600.0,20.0,3.0,2002.0,전북 전주시 우아동1가 인교9길 21-8,127.17542679600001,35.826402793,2
월세,우아동2가,석소1길 22,868.0,7.0,54.73,202006.0,8.0,2000.0,20.0,2.0,2004.0,전북 전주시 우아동2가 석소1길 22,127.16848953899999,35.834216001,1
월세,우아동2가,석소2길 14-2,878.0,8.0,41.38,202009.5,13.0,4000.0,7.5,3.0,2003.0,전북 전주시 우아동2가 석소2길 14-2,127.169096017,35.833804184,2
월세,우아동2가,석소2길 15,872.0,3.0,45.65,202008.0,6.0,500.0,35.0,3.0,2004.0,전북 전주시 우아동2가 석소2길 15,127.16873332700001,35.834044998,1
월세,우아동2가,석소4길 5-6,883.0,6.0,29.16,202006.5,15.0,1250.0,22.0,2.0,2006.0,전북 전주시 우아동2가 석소4길 5-6,127.171298882,35.833997317,2
월세,우아동2가,아중5길 10-4,905.0,3.0,56.91,202007.5,20.0,2650.0,24.0,2.5,2004.0,전북 전주시 우아동2가 아중5길 10-4,127.17001638100001,35.829837195,2
월세,우아동2가,아중7길 8,893.0,7.0,22.37,202005.0,3.0,2000.0,40.0,3.0,2006.0,전북 전주시 우아동2가 아중7길 8,127.17216020299999,35.833353353,1
월세,우아동2가,진버들6길 12-1,857.0,8.0,54.26,202011.0,28.0,4000.0,10.0,3.0,2003.0,전북 전주시 우아동2가 진버들6길 12-1,127.166984354,35.836870175,1
월세,우아동2가,진버들6길 30-2,811.0,4.0,43.56,202008.0,22.0,500.0,22.0,2.0,1982.0,전북 전주시 우아동2가 진버들6길 30-2,127.166287993,35.837844755,1
월세,인후동1가,가재미2길 12,889.0,2.0,50.65,202005.0,18.0,4000.0,24.0,2.0,2003.0,전북 전주시 인후동1가 가재미2길 12,127.163735727,35.828766269,1
월세,인후동1가,동가재미1길 3-24,840.0,11.0,47.22,202006.0,12.0,300.0,40.0,4.0,2003.0,전북 전주시 인후동1가 동가재미1길 3-24,127.161625159,35.832595762,1
월세,인후동1가,동가재미1길 6-18,843.0,20.0,44.0,202102.0,6.0,1500.0,35.0,3.0,2004.0,전북 전주시 인후동1가 동가재미1길 6-18,127.161997268,35.830957414000004,1
월세,인후동1가,무삼지3길 6,893.0,8.0,41.04,202101.0,23.0,2000.0,3.0,3.0,2006.0,전북 전주시 인후동1가 무삼지3길 6,127.162202691,35.82773802,1
월세,인후동1가,반태산1길 69,703.0,4.0,70.41,202101.0,10.0,500.0,40.0,4.0,2004.0,전북 전주시 인후동1가 반태산1길 69,127.149712853,35.830330149,1
월세,인후동1가,서가재미1길 12,831.0,5.0,45.32,202004.0,1.0,500.0,42.0,1.0,2003.0,전북 전주시 인후동1가 서가재미1길 12,127.16031653700001,35.830940566,1
월세,인후동1가,서가재미1길 14,831.0,14.0,38.52,202005.0,22.0,1000.0,20.0,1.0,2003.0,전북 전주시 인후동1가 서가재미1길 14,127.160502671,35.830991989,1
월세,인후동1가,서가재미2길 14,828.0,2.0,26.185,202010.0,17.0,1000.0,26.0,3.0,2002.0,전북 전주시 인후동1가 서가재미2길 14,127.159953196,35.831929036,1
월세,인후동1가,안덕원로 280,493.0,4.0,59.085,202101.0,15.0,500.0,30.0,3.0,1984.0,전북 전주시 인후동1가 안덕원로 280,127.158011251,35.836663334,1
월세,인후동1가,인봉3길 42,152.0,10.0,77.85,202007.0,31.0,300.0,25.0,2.0,1992.0,전북 전주시 인후동1가 인봉3길 42,127.158396431,35.828721750999996,1
월세,인후동1가,인후6길 10,226.0,5.0,84.18,202004.0,5.0,500.0,35.0,1.0,1983.0,전북 전주시 인후동1가 인후6길 10,127.157436187,35.832793067,1
월세,인후동1가,팽나무3길 11-1,773.0,15.0,58.6197,202009.5,11.5,5000.0,7.0,2.5,2005.0,전북 전주시 인후동1가 팽나무3길 11-1,127.153381772,35.835614887,2
월세,인후동1가,팽나무4길 26-6,776.0,7.0,40.38,202009.0,13.0,300.0,25.0,2.0,2002.0,전북 전주시 인후동1가 팽나무4길 26-6,127.154009984,35.834311929,1
월세,인후동1가,팽나무5길 16-1,780.0,3.0,58.2,202101.0,15.0,500.0,30.0,2.0,2004.0,전북 전주시 인후동1가 팽나무5길 16-1,127.155559391,35.835247433,1
월세,인후동1가,한배미4길 18-3,934.0,6.0,24.0,202004.0,2.0,200.0,28.0,1.0,2001.0,전북 전주시 인후동1가 한배미4길 18-3,127.16517944600001,35.824272106,1
월세,인후동1가,한배미5길 20-1,940.0,6.0,21.84,202052.5,19.0,1550.0,15.0,2.0,2003.0,전북 전주시 인후동1가 한배미5길 20-1,127.166071324,35.823484186,2
