전월세구분,dong,도로명,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,loc,x,y,번지,번지.1,번지.1.1,번지.1.1.1,번지.1.1.1.1,번지.1.1.1.1.1,번지.1.1.1.1.1.1,번지
월세,송천동1가,두간3길,59.4,202008.0,23.0,500.0,40.0,2013.0,전북 전주시 송천동1가 두간3길,127.11994372,35.864732833000005,1,1,1,1,1,1,1,1
월세,송천동1가,두간9길,109.0,202010.0,26.0,7000.0,30.0,2013.0,전북 전주시 송천동1가 두간9길,127.11560593799999,35.864897688,1,1,1,1,1,1,1,1
월세,송천동1가,사근1길,30.0,202103.0,6.0,300.0,40.0,2016.0,전북 전주시 송천동1가 사근1길,127.128148113,35.866453581,1,1,1,1,1,1,1,1
월세,송천동1가,솔내1길,49.76454545,202037.9545,19.36363636,3081.818182,27.54545455,2009.785714,전북 전주시 송천동1가 솔내1길,127.121266726,35.852223496,22,22,22,22,22,22,22,22
월세,송천동1가,솔내2길,52.23307692,202023.2308,17.30769231,2114.461538,28.30769231,2013.5,전북 전주시 송천동1가 솔내2길,127.120983076,35.853258699,13,13,13,13,13,13,13,13
월세,송천동1가,솔내3길,50.0,202009.0,28.0,300.0,30.0,2011.0,전북 전주시 송천동1가 솔내3길,127.12169896799999,35.853725271,1,1,1,1,1,1,1,1
월세,송천동1가,솔내4길,42.258,202027.2,15.4,1200.0,30.4,2017.0,전북 전주시 송천동1가 솔내4길,127.12136201700001,35.856049373000005,5,5,5,5,5,5,5,5
월세,송천동1가,솔내5길,40.42666667,202032.0,13.0,2037.5,21.41666667,2010.363636,전북 전주시 송천동1가 솔내5길,127.12162066200001,35.85756399,12,12,12,12,12,12,12,12
월세,송천동1가,솔내6길,69.35,202008.0,14.75,5375.0,27.5,2016.0,전북 전주시 송천동1가 솔내6길,127.12339957799999,35.858544846,4,4,4,4,4,4,4,4
월세,송천동1가,솔내7길,99.084,202009.8,20.8,8660.0,30.8,2010.4,전북 전주시 송천동1가 솔내7길,127.12225825200001,35.859698378000004,5,5,5,5,5,5,5,5
월세,송천동1가,솔내8길,43.475,202049.2857,14.0,1857.142857,33.71428571,2013.363636,전북 전주시 송천동1가 솔내8길,127.12247365200001,35.860989015,14,14,14,14,14,14,14,14
