0,1,near_bus_stop,near_bus_stop_count,bus_at_each_stop,total_bus
127.14,35.8,"[[127.13558091, 35.79654849, '꽃밭정이네거리', 305100385], [127.13629562, 35.79547055, '평화2동주민센터', 305100375], [127.13656873, 35.79607586, '평화2동주민센터', 305100380], [127.13737968, 35.79746601, '완산여고', 305100397], [127.1390222, 35.79770557, '완산여고', 305100401], [127.14108794, 35.79883454, '평화주공1.2단지', 305100423], [127.14142127, 35.798558, '평화주공1.2단지', 305100411], [127.14352842, 35.79971923, '장승백이', 305100434], [127.143604, 35.79936984, '장승백이', 305100427]]",9,(평화2동주민센터-305100375)-2대(완산여고-305100397)-53대(완산여고-305100401)-52대,107
127.12,35.81,"[[127.11661714, 35.80577968, '거마평로안행교', 305100504], [127.11754788, 35.81265423, '서원로완산구청네거리', 305100571], [127.1175812, 35.80670585, '안행교', 305100520], [127.11800285, 35.8064225, '안행교', 305100515], [127.11815693, 35.81361408, '중화산로완산구청네거리', 305100588], [127.11868782, 35.81263555, '완산구청', 305100572], [127.12080521, 35.81228152, '완산구청', 305100566], [127.12086554, 35.80631791, '효자광장', 305100514], [127.12226214, 35.80596921, '효자광장', 305100505], [127.1227635, 35.81342411, '한마음병원.전주병원', 305100581], [127.12287575, 35.8100333, '효자한양운남아파트', 305100549], [127.12333066, 35.81413825, '한마음병원.전주병원', 305100595], [127.12338287, 35.80664945, '백제대로효자광장', 305100518], [127.12354014, 35.80884862, '효자남양황실아파트', 305100533]]",14,(거마평로안행교-305100504)-5대(서원로완산구청네거리-305100571)-5대(안행교-305100515)-55대(중화산로완산구청네거리-305100588)-2대(완산구청-305100572)-7대(효자광장-305100514)-55대(효자한양운남아파트-305100549)-5대,134
127.11,35.82,"[[127.1056791, 35.82383969, '홍산로 경찰청', 305100741], [127.10569896, 35.82167454, '홍산로전북도청', 305100713], [127.1057628, 35.8162474, '전북창조경제혁신센터', 305032363], [127.1061115, 35.8162305, '전북창조경제혁신센터', 305032364], [127.10625959, 35.82380993, '홍산로 경찰청', 305100740], [127.10628065, 35.8216641, '홍산로전북도청', 305100712], [127.10768278, 35.81918961, '효자로전라북도도청', 305100667], [127.10806708, 35.8189981, '효자로전라북도도청', 305100661], [127.11187044, 35.81633783, '신원아침도시.힐스테이트', 305032286], [127.11202151, 35.81569, '씨티병원', 305032285], [127.1143533, 35.8188954, '효자다리', 305100658], [127.11485053, 35.81915827, '효자다리', 305100664]]",12,(홍산로 경찰청-305100741)-3대(전북창조경제혁신센터-305032363)-2대(전북창조경제혁신센터-305032364)-2대(홍산로전북도청-305100712)-3대(효자로전라북도도청-305100667)-5대(효자로전라북도도청-305100661)-3대,18
127.14,35.85,"[[127.13507863, 35.85332241, '실내배드민턴장 조경단', 306101164], [127.13513216, 35.85366463, '실내배드민턴장 조경단', 306101172], [127.13925729, 35.85406304, '체련공원 소리문화의전당', 306101181], [127.13956112, 35.85383428, '체련공원 소리문화의전당', 306101176], [127.1411122, 35.85480228, '전주동물원', 306101198], [127.14153729, 35.85448497, '전주동물원', 306101213], [127.1423653, 35.8457004, '전북대학병원내', 306101079]]",7,(실내배드민턴장 조경단-306101164)-1대(실내배드민턴장 조경단-306101172)-2대(전주동물원-306101198)-1대(전북대학병원내-306101079)-16대,20
127.14,35.83,"[[127.13562582, 35.83101554, '진북우성아파트.전주고용복지센터', 306100859], [127.13617762, 35.830343, '전주시교육청.전주고용복지센터', 306100852], [127.13642739, 35.83369489, '금암광장.청담한방병원', 306100915], [127.13659388, 35.82651846, '진북동양아파트', 306100791], [127.13684468, 35.82664947, '진북동양아파트', 305100793], [127.13705488, 35.8283769, '전북교육문화회관', 306100819], [127.1373989, 35.8330062, '금암광장', 306100911], [127.1377309, 35.8330432, '기린대로금암광장', 306100905], [127.13783588, 35.83345839, '기린대로금암광장', 306100906], [127.13871665, 35.83141844, '청소년상담센터.원광신협', 306100861], [127.13914965, 35.83032546, '한국은행.청소년상담센터', 306100851], [127.13934233, 35.83172599, '진북전자상가', 306100867], [127.13953366, 35.82907929, '한국은행', 306100832], [127.14025275, 35.83141746, '진북전자상가', 306100862], [127.14030958, 35.82597915, '한국방송통신대', 305100782], [127.1419199, 35.82811986, '흥국생명', 306100817], [127.1421066, 35.8347703, '대성슈퍼', 305032592], [127.1422394, 35.8347887, '대성슈퍼', 305032591], [127.1423091, 35.8328279, '모래내입구', 305032593], [127.1424358, 35.832968, '모래내입구', 305032594], [127.14283256, 35.82894399, '기린대로현대병원', 306100827], [127.14299561, 35.82930275, '기린대로현대병원', 306100842], [127.14373151, 35.83203886, '모래내', 306100879], [127.14384075, 35.83167509, '모래내', 306100864], [127.14388436, 35.8261437, '중앙시장', 306100785], [127.14490334, 35.83301705, '모래내시장', 306100898]]",26,(진북우성아파트.전주고용복지센터-306100859)-2대(전주시교육청.전주고용복지센터-306100852)-3대(진북동양아파트-306100791)-2대(진북동양아파트-305100793)-1대(기린대로금암광장-306100905)-8대(기린대로금암광장-306100906)-10대(한국은행.청소년상담센터-306100851)-73대(흥국생명-306100817)-27대(대성슈퍼-305032592)-1대(대성슈퍼-305032591)-1대(기린대로현대병원-306100842)-15대(중앙시장-306100785)-32대(모래내시장-306100898)-21대,196
127.13,35.85,"[[127.12568939, 35.85282014, '전북어린이창의체험관.덕암', 306101156], [127.12599037, 35.85255545, '전북어린이창의체험관.덕암', 306101155], [127.1275173, 35.8495494, '전북대종점', 316032081], [127.1275788, 35.8494278, '전북대종점', 305032481], [127.1279634, 35.8533907, '어린이창의체험관', 305032590], [127.1280851, 35.8534272, '어린이창의체험관', 305032589], [127.1287653, 35.8467267, '건지광장', 306032082], [127.12977968, 35.85240673, '연화마을', 306101152], [127.12987463, 35.85198748, '연화마을', 306101147], [127.13051093, 35.84525276, '전북대국제교류어학원', 305032080]]",10,(전북어린이창의체험관.덕암-306101156)-2대(전북어린이창의체험관.덕암-306101155)-1대(전북대종점-316032081)-6대(전북대종점-305032481)-4대(어린이창의체험관-305032589)-2대,15
127.12,35.85,"[[127.11545638, 35.84571856, '가련산로.원대한방병원', 306101083], [127.11554857, 35.84538482, '가련산로.원대한방병원', 306101078], [127.11619494, 35.8479443, '기린대로.원대한방병원', 306101090], [127.11676511, 35.84824786, '기린대로.원대한방병원', 306101095], [127.11891029, 35.84907486, '도립국악원', 306101106], [127.1193766, 35.85332881, '송천 센트럴파크', 306101163], [127.11968893, 35.84934543, '도립국악원', 306101113], [127.11969439, 35.84624591, '기린대로덕진공원', 306101086], [127.11979367, 35.85361352, '도립여성중고 롯데마트', 306101170], [127.12136775, 35.84574561, '기린대로덕진공원', 306101084], [127.12146814, 35.85120373, '호반촌비사벌아파트', 306132039]]",11,(가련산로.원대한방병원-306101083)-2대(송천 센트럴파크-306101163)-47대(기린대로덕진공원-306101086)-25대(호반촌비사벌아파트-306132039)-1대,75
127.11,35.84,"[[127.10774238, 35.83889384, '서신e편한세상', 305101008], [127.10800307, 35.83866914, '서신e편한세상', 305101003], [127.10908478, 35.84327127, '하가부영아파트', 312132242], [127.10928361, 35.8433088, '하가부영아파트', 312132243], [127.11010185, 35.83988337, '하가영무예다음아파트', 306132084], [127.110291, 35.83849464, '이편한세상(천변)', 306132110], [127.11031092, 35.83869307, '이편한세상(천변)', 306132111], [127.11066824, 35.83971631, '하가영무예다음아파트', 306132083], [127.11129936, 35.84168582, '하가지구영무예다음', 306101022], [127.1113025, 35.84202607, '하가지구영무예다음', 306101042], [127.11205578, 35.83628984, '여울초교', 305100962], [127.11231118, 35.83637476, '여울초교', 305100963], [127.11400487, 35.83570818, '서일초교', 305100953], [127.11413318, 35.83544123, '서일초교', 305100949], [127.11477753, 35.83851579, '하가지구휴먼빌아파트', 306101000], [127.11496449, 35.83862532, '하가지구휴먼빌아파트', 306101005]]",16,(서신e편한세상-305101008)-2대(하가부영아파트-312132242)-5대(하가부영아파트-312132243)-3대(하가영무예다음아파트-306132084)-1대,11
127.14,35.86,"[[127.14308131, 35.85806945, '대지마을', 305032303], [127.14319628, 35.8576737, '대지마을', 305032302]]",2,(대지마을-305032303)-1대(대지마을-305032302)-1대,2
127.07,35.84,"[[127.0656677, 35.8387262, '한국국토정보공사', 305032359], [127.0656964, 35.8356996, '만성초등학교정문', 305032577], [127.0657399, 35.835844, '만성초등학교정문', 305032578], [127.0657573, 35.8385462, '한국국토정보공사', 305032360], [127.0689429, 35.8354768, '국민연금 기금운용본부', 305032673], [127.0696952, 35.8355877, '국민연금 기금운용본부', 305032672], [127.0697953, 35.8420725, '기지제', 305032640], [127.0699845, 35.8419064, '기지제', 305032641], [127.0701188, 35.8387692, '국민연금공단', 306032155], [127.0702416, 35.8385803, '국민연금공단', 306032156], [127.0719831, 35.8361459, '국민연금공단', 305032580], [127.0722382, 35.8360747, '국민연금공단', 305032579], [127.0736286, 35.8388133, '만성시티프라디움', 305032411], [127.0739395, 35.8376198, '만성LH퍼스트리움', 306032157], [127.0742556, 35.8437428, '법원검찰청', 305032427], [127.0744314, 35.8439959, '법원검찰청', 305032428], [127.0746089, 35.839777, '만성시티프라디움', 305032410], [127.0748123, 35.8369466, '만성LH퍼스트리움', 306032158]]",18,(한국국토정보공사-305032359)-5대(만성초등학교정문-305032577)-1대(만성초등학교정문-305032578)-1대(기지제-305032641)-1대(국민연금공단-306032156)-2대(만성시티프라디움-305032411)-1대,11
