전월세구분,dong,도로명,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,loc,x,y,번지,번지.1,번지.1.1,번지.1.1.1,번지
월세,서서학동,서학1길,30.0,202009.0,29.0,200.0,22.0,2007.0,전북 전주시 서서학동 서학1길,127.14978210299999,35.804648825,1,1,1,1,1
월세,서서학동,서학3길,24.42,202007.0,17.0,300.0,28.0,,전북 전주시 서서학동 서학3길,127.15158121299999,35.805946398,1,1,1,1,1
월세,서서학동,장승배기5길,42.0,202012.0,1.0,200.0,32.0,2010.0,전북 전주시 서서학동 장승배기5길,127.14482535,35.801159913,1,1,1,1,1
월세,서서학동,장승배기6길,53.73,202012.0,15.0,1000.0,25.0,1991.0,전북 전주시 서서학동 장승배기6길,127.145717359,35.801704627,1,1,1,1,1
월세,서서학동,학봉1길,52.85,202009.0,15.0,750.0,39.0,2019.0,전북 전주시 서서학동 학봉1길,127.151563028,35.804502989,2,2,2,2,2
월세,서서학동,흑석1길,26.64,202009.0,8.0,2000.0,15.0,2018.0,전북 전주시 서서학동 흑석1길,127.148416038,35.797590524,1,1,1,1,1
월세,서서학동,흑석로,53.35,202007.0,14.0,500.0,6.666666666666668,2020.0,전북 전주시 서서학동 흑석로,127.149544746,35.803238101,3,3,3,3,3
월세,서신동,감나무3길,84.53,202012.0,11.0,6000.0,10.0,,전북 전주시 서신동 감나무3길,127.121788784,35.830816206,1,1,1,1,1
월세,서신동,감나무4길,69.68666666666667,202054.83333333328,12.333333333333336,2733.333333333333,27.33333333333333,1999.166666666667,전북 전주시 서신동 감나무4길,127.12168671399999,35.831675685,6,6,6,6,6
월세,서신동,고사평1길,51.084285714285706,202038.8571428572,11.666666666666664,1566.666666666667,32.04761904761905,2008.3809523809525,전북 전주시 서신동 고사평1길,127.108066741,35.834956491999996,21,21,21,21,21
월세,서신동,고사평2길,44.8525,202037.0,17.0625,931.25,34.75,2005.625,전북 전주시 서신동 고사평2길,127.109661611,35.834609126,16,16,16,16,16
월세,서신동,고사평3길,45.495,202040.0,10.666666666666666,3250.0,15.0,2006.5,전북 전주시 서신동 고사평3길,127.108248145,35.836171611,6,6,6,6,6
월세,서신동,고사평4길,41.0,202039.0,16.833333333333332,1316.6666666666667,30.83333333333333,2006.666666666667,전북 전주시 서신동 고사평4길,127.110402534,35.835359565,6,6,6,6,6
월세,서신동,고사평5길,39.36315789473685,202036.8421052632,14.68421052631579,1215.7894736842104,29.52631578947368,2009.6315789473688,전북 전주시 서신동 고사평5길,127.108066741,35.834956491999996,19,19,19,19,19
월세,서신동,고사평6길,44.0,202054.625,16.125,900.0,28.5,2006.625,전북 전주시 서신동 고사평6길,127.110021244,35.836417579,8,8,8,8,8
월세,서신동,고사평7길,40.9,202036.1,17.55,875.0,30.35,2008.0,전북 전주시 서신동 고사평7길,127.11008986799999,35.837074049,20,20,20,20,20
월세,서신동,고사평8길,67.23555555555555,202018.66666666663,15.444444444444445,1711.111111111111,30.88888888888889,2008.2222222222226,전북 전주시 서신동 고사평8길,127.11106298899999,35.836626854,9,9,9,9,9
월세,서신동,고사평9길,53.26411764705882,202014.76470588235,14.941176470588234,2470.5882352941176,28.176470588235286,2007.6470588235293,전북 전주시 서신동 고사평9길,127.11069281399999,35.837730431,17,17,17,17,17
월세,서신동,고사평로,37.16375,202055.375,22.25,600.0,29.75,2005.857142857143,전북 전주시 서신동 고사평로,127.10966630200001,35.8348638,8,8,8,8,8
월세,서신동,새터로,54.52,202039.88888888888,17.444444444444443,1944.4444444444448,37.0,2012.25,전북 전주시 서신동 새터로,127.119744302,35.835176732,9,9,9,9,9
월세,서신동,서신천변10길,50.0,202012.0,28.0,300.0,30.0,2001.0,전북 전주시 서신동 서신천변10길,127.114485483,35.829860944,1,1,1,1,1
월세,서신동,서신천변11길,89.77999999999999,202036.66666666663,18.666666666666668,2500.0,29.0,1996.0,전북 전주시 서신동 서신천변11길,127.11405985100001,35.830010124,3,3,3,3,3
월세,서신동,서신천변12길,55.08,202103.0,15.0,1000.0,30.0,2003.0,전북 전주시 서신동 서신천변12길,127.115181701,35.829984894,1,1,1,1,1
월세,서신동,서신천변13길,45.052,202027.8,16.6,1240.0,21.6,2006.2,전북 전주시 서신동 서신천변13길,127.114083887,35.830397891,5,5,5,5,5
월세,서신동,서신천변1길,81.185,202008.5,23.75,4000.0,36.25,2003.75,전북 전주시 서신동 서신천변1길,127.113448176,35.826475104000004,4,4,4,4,4
월세,서신동,서신천변2길,36.56666666666667,202054.66666666663,16.0,358.33333333333326,27.33333333333333,2006.833333333333,전북 전주시 서신동 서신천변2길,127.115137261,35.826536606,6,6,6,6,6
월세,서신동,서신천변3길,72.25,202007.0,21.0,1500.0,20.0,1997.5,전북 전주시 서신동 서신천변3길,127.114058784,35.827755431,2,2,2,2,2
