건물명(상호명),건물위치,주택유형구분,세대수(객실수),건축연도
,전라북도 전주시 덕진구 금암동 1545-20,단독주택,15,20060912
,전라북도 전주시 덕진구 금암동 1546-11,단독주택,11,20051104
,전라북도 전주시 덕진구 금암동 1546-19,"다세대주택, 변소",0,19900530
,전라북도 전주시 덕진구 금암동 1546-2,"단독주택,다중주택",7,19910114
,전라북도 전주시 덕진구 금암동 1546-20,단독주택,14,20110210
,전라북도 전주시 덕진구 금암동 1546-3,"단독주택, 근린생활시설",19,20010822
,전라북도 전주시 덕진구 금암동 1547-2,다가구주택,14,20110310
,전라북도 전주시 덕진구 금암동 1547-3,단독주택,11,20150226
,전라북도 전주시 덕진구 금암동 1547-32,단독주택,19,20011227
,전라북도 전주시 덕진구 금암동 1547-35,단독주택(19),19,19991025
,전라북도 전주시 덕진구 금암동 1547-4,단독주택,2,19820929
,전라북도 전주시 덕진구 금암동 1547-5,단독주택(18),0,19991025
,전라북도 전주시 덕진구 금암동 1548-1,단독주택,15,20011224
,전라북도 전주시 덕진구 금암동 1548-2,"단독주택(다가구주택,9가구)",9,20030211
,전라북도 전주시 덕진구 금암동 1548-21,단독주택,10,20060118
,전라북도 전주시 덕진구 금암동 1548-23,단독주택(다가구주택),14,20161219
,전라북도 전주시 덕진구 금암동 1548-24,단독주택,9,20050825
,전라북도 전주시 덕진구 금암동 1548-3,단독주택,6,20050713
,전라북도 전주시 덕진구 금암동 1548-4,단독주택,11,20050727
,전라북도 전주시 덕진구 금암동 1548-5,단독주택,9,20040115
,전라북도 전주시 덕진구 금암동 1549-3,단독주택,9,20051017
,전라북도 전주시 덕진구 금암동 1549-5,다세대주택,0,19901201
,전라북도 전주시 덕진구 금암동 1550-10,단독주택,14,20180108
,전라북도 전주시 덕진구 금암동 1550-13,단독주택 및 제1종근린생활시설,13,20210122
,전라북도 전주시 덕진구 금암동 1550-16,단독주택(다가구주택),9,20111108
,전라북도 전주시 덕진구 금암동 1550-17,단독주택,8,20040115
,전라북도 전주시 덕진구 금암동 1550-18,단독주택,9,20190228
,전라북도 전주시 덕진구 금암동 1550-19,단독주택,18,20031212
,전라북도 전주시 덕진구 금암동 1551-10,단독주택,11,20130322
,전라북도 전주시 덕진구 금암동 1551-11,단독주택,19,20031215
,전라북도 전주시 덕진구 금암동 1551-17,단독주택(19가구),19,20010613
,전라북도 전주시 덕진구 금암동 1551-19,단독주택,19,20020819
,전라북도 전주시 덕진구 금암동 1551-2,단독주택,19,20170417
,전라북도 전주시 덕진구 금암동 1551-20,단독주택(17가구),17,20011217
,전라북도 전주시 덕진구 금암동 1551-5,다세대주택,2,19891206
,전라북도 전주시 덕진구 금암동 1551-8,단독주택,10,20121115
,전라북도 전주시 덕진구 금암동 1552-10,단독주택(다가구주택),15,20160907
,전라북도 전주시 덕진구 금암동 1552-3,다가구주택,0,20010821
,전라북도 전주시 덕진구 금암동 1552-31,단독주택(7가구),7,19980107
,전라북도 전주시 덕진구 금암동 1552-35,단독주택,19,20130227
,전라북도 전주시 덕진구 금암동 1552-36,단독주택,19,20120717
,전라북도 전주시 덕진구 금암동 1552-39,단독주택,19,20131212
,전라북도 전주시 덕진구 금암동 1552-41,단독주택(다가구주택),12,20161019
,전라북도 전주시 덕진구 금암동 1552-54,단독주택,19,20120827
,전라북도 전주시 덕진구 금암동 1552-57,단독주택(다가구주택),12,20161019
,전라북도 전주시 덕진구 금암동 1552-6,단독주택,12,20140206
,전라북도 전주시 덕진구 금암동 1553-24,단독주택(다가구),5,19970814
,전라북도 전주시 덕진구 금암동 1553-25,단독주택,15,20201217
,전라북도 전주시 덕진구 금암동 1553-29,단독주택,11,20181226
,전라북도 전주시 덕진구 금암동 1553-3,다세대주택(2세대),0,19900706
,전라북도 전주시 덕진구 금암동 1553-32,단독주택(다가구주택),13,20180213
,전라북도 전주시 덕진구 금암동 1553-33,단독주택,17,20170531
,전라북도 전주시 덕진구 금암동 1553-39,단독주택,15,20031222
,전라북도 전주시 덕진구 금암동 1556-25,단독주택,11,20180302
,전라북도 전주시 덕진구 금암동 1556-33,단독주택(다가구주택),13,20200131
,전라북도 전주시 덕진구 금암동 1556-34,단독주택,15,20190328
,전라북도 전주시 덕진구 금암동 1557-13,"주택, 변소, 창고",3,19791029
,전라북도 전주시 덕진구 금암동 1557-18,단독주택,11,20140303
,전라북도 전주시 덕진구 금암동 1557-35,단독주택,10,20131119
,전라북도 전주시 덕진구 금암동 1558-1,"단독주택, 제2종근린생활시설",12,20120524
,전라북도 전주시 덕진구 금암동 1558-5,단독주택,12,20120621
,전라북도 전주시 덕진구 금암동 1561-39,단독주택,3,19880408
,전라북도 전주시 덕진구 금암동 1561-8,다세대주택,6,19891120
,전라북도 전주시 덕진구 금암동 1563-1,단독주택,15,20170320
,전라북도 전주시 덕진구 금암동 1569-10,단독주택,3,20040503
,전라북도 전주시 덕진구 금암동 1569-11,주택,5,19890823
,전라북도 전주시 덕진구 금암동 1569-18,단독주택(다가구주택(3가구)),3,19901129
,전라북도 전주시 덕진구 금암동 1569-29,다세대주택,4,19880601
,전라북도 전주시 덕진구 금암동 1569-3,단독주택,10,20180622
,전라북도 전주시 덕진구 금암동 1569-30,"다세대주택, 변소",4,19890518
매봉빌,전라북도 전주시 덕진구 금암동 1569-4,단독주택,10,20190318
,전라북도 전주시 덕진구 금암동 1570-10,단독주택,6,20100430
,전라북도 전주시 덕진구 금암동 1571-5,단독주택(2가구),2,19911025
,전라북도 전주시 덕진구 금암동 1571-7,단독주택,6,20100430
,전라북도 전주시 덕진구 금암동 1572-11,"다세대주택, 화장실",2,19861108
,전라북도 전주시 덕진구 금암동 1572-17,다세대주택,2,19870519
,전라북도 전주시 덕진구 금암동 1572-19,단독주택,11,20120522
,전라북도 전주시 덕진구 금암동 1572-5,단독주택,11,20120522
,전라북도 전주시 덕진구 금암동 1572-8,"다세대주택, 변소, 창고",2,19870525
,전라북도 전주시 덕진구 금암동 1573-14,다세대주택,2,19881014
,전라북도 전주시 덕진구 금암동 1573-15,"주택, 근린생활시설(소매점)",2,19831108
,전라북도 전주시 덕진구 금암동 1573-26,"다세대주택, 화장실",2,19860123
,전라북도 전주시 덕진구 금암동 1573-4,다세대주택,2,19880718
,전라북도 전주시 덕진구 금암동 1573-6,단독주택,11,20120120
,전라북도 전주시 덕진구 금암동 1574-1,단독주택,7,20150421
,전라북도 전주시 덕진구 금암동 1574-11,다세대주택,2,19891206
,전라북도 전주시 덕진구 금암동 1574-17,단독주택,11,20110622
,전라북도 전주시 덕진구 금암동 1574-22,"다세대주택, 변소",2,19880704
,전라북도 전주시 덕진구 금암동 1574-8,단독주택,12,20070313
,전라북도 전주시 덕진구 금암동 1576-13,"다세대주택, 변소",3,19870624
,전라북도 전주시 덕진구 금암동 1576-21,"다세대주택, 변소, 창고",2,19860603
,전라북도 전주시 덕진구 금암동 1576-30,단독주택(다가구주택),10,20200316
,전라북도 전주시 덕진구 금암동 1576-33,다세대주택,2,19891229
,전라북도 전주시 덕진구 금암동 1576-48,"다세대주택, 화장실",2,19881123
,전라북도 전주시 덕진구 금암동 1576-56,"다세대주택, 화장실",2,19880716
,전라북도 전주시 덕진구 금암동 1577-18,다세대주택,0,19830125
,전라북도 전주시 덕진구 금암동 1577-29,"다세대주택, 변소, 창고",6,19871207
,전라북도 전주시 덕진구 금암동 1577-6,"다세대주택, 변소, 창고",2,19871207
,전라북도 전주시 덕진구 금암동 1578-6,주택(2가구),2,19910604
,전라북도 전주시 덕진구 금암동 1579-11,"주택, 변소, 창고",1,19841023
,전라북도 전주시 덕진구 금암동 1580-13,제1종근생(소매점) 및 단독주택(3가구),3,20170123
,전라북도 전주시 덕진구 금암동 1580-3,"다세대 주택, 화장실",2,19870921
,전라북도 전주시 덕진구 금암동 1580-36,단독주택,4,20010222
,전라북도 전주시 덕진구 금암동 1580-37,단독주택,4,20010222
,전라북도 전주시 덕진구 금암동 1582-33,"다세대주택, 변소",4,19890511
,전라북도 전주시 덕진구 금암동 1582-5,다세대주택,1,19891121
,전라북도 전주시 덕진구 금암동 1583-1,주택(5가구),4,19940825
,전라북도 전주시 덕진구 금암동 1583-20,"단독주택,제1종근린생활시설",6,20120223
,전라북도 전주시 덕진구 금암동 1583-3,단독주택,14,20120223
,전라북도 전주시 덕진구 금암동 1585-1,단독주택,15,20190104
,전라북도 전주시 덕진구 금암동 1585-33,단독주택,15,20190129
,전라북도 전주시 덕진구 금암동 1585-34,단독주택,15,20181226
,전라북도 전주시 덕진구 금암동 1586-10,단독주택,9,20180411
,전라북도 전주시 덕진구 금암동 1586-11,다세대주택(3세대),4,19890922
,전라북도 전주시 덕진구 금암동 1586-12,단독주택,18,20080530
,전라북도 전주시 덕진구 금암동 1586-13,단독주택,19,20100616
,전라북도 전주시 덕진구 금암동 1586-8,단독주택,18,20101215
,전라북도 전주시 덕진구 금암동 1586-9,다가구주택,9,20090420
,전라북도 전주시 덕진구 금암동 1587-22,단독주택,11,20051222
,전라북도 전주시 덕진구 금암동 1587-24,단독주택(13가구),4,19961116
,전라북도 전주시 덕진구 금암동 1587-25,단독주택,10,20100625
,전라북도 전주시 덕진구 금암동 1587-26,단독주택,10,20100720
,전라북도 전주시 덕진구 금암동 1587-27,단독주택 다가구(10가구),4,19980930
,전라북도 전주시 덕진구 금암동 1587-28,단독주택,4,19950724
,전라북도 전주시 덕진구 금암동 1587-29,단독주택(18가구),4,20021107
,전라북도 전주시 덕진구 금암동 1587-30,다가구주택(14가구),4,20001018
,전라북도 전주시 덕진구 금암동 1587-31,단독주택(다가구:13가구),4,19970925
,전라북도 전주시 덕진구 금암동 1587-32,다세대주택(3세대),1,19940112
,전라북도 전주시 덕진구 금암동 1587-43,"단독주택,제1·2종근생",4,20100526
,전라북도 전주시 덕진구 금암동 1587-48,단독주택,14,20170925
,전라북도 전주시 덕진구 금암동 1587-52,단독주택,15,20130619
,전라북도 전주시 덕진구 금암동 1587-54,단독주택(16가구),16,19960113
,전라북도 전주시 덕진구 금암동 1587-55,단독(다가구)주택,4,19961123
,전라북도 전주시 덕진구 금암동 1587-57,단독주택(다가구주택),4,20030106
,전라북도 전주시 덕진구 금암동 1587-58,다가구주택 및 제2종 근린생활시설,8,20160307
,전라북도 전주시 덕진구 금암동 1587-59,다가구주택(3가구),3,19960529
,전라북도 전주시 덕진구 금암동 1587-60,단독주택,11,20120430
,전라북도 전주시 덕진구 금암동 1587-61,"다세대주택, 화장실",0,19900807
,전라북도 전주시 덕진구 금암동 1587-62,단독주택(다가구주택),18,20020204
,전라북도 전주시 덕진구 금암동 1587-65,단독주택(18가구),18,20010628
,전라북도 전주시 덕진구 금암동 1587-66,단독(다가구)주택,4,19961028
,전라북도 전주시 덕진구 금암동 1587-68,단독주택,10,20120912
,전라북도 전주시 덕진구 금암동 1587-69,단독주택(다가구주택),13,20020822
,전라북도 전주시 덕진구 금암동 1587-70,"근린생활시설, 단독주택",10,19961228
,전라북도 전주시 덕진구 금암동 1587-81,단독주택(19가구),19,19980820
,전라북도 전주시 덕진구 금암동 1587-83,단독주택(다가구주택),13,20141015
,전라북도 전주시 덕진구 금암동 1587-93,단독주택(5가구),5,19831014
,전라북도 전주시 덕진구 금암동 1588-17,단독주택,3,20190405
,전라북도 전주시 덕진구 금암동 1590-10,단독주택,10,20061124
,전라북도 전주시 덕진구 금암동 1590-6,다가구주택,11,20160627
,전라북도 전주시 덕진구 금암동 1590-7,단독주택,6,20181016
,전라북도 전주시 덕진구 금암동 1590-8,단독주택,8,20180209
,전라북도 전주시 덕진구 금암동 1591-10,단독주택,13,20060125
,전라북도 전주시 덕진구 금암동 1591-16,단독주택(4가구),4,19850820
,전라북도 전주시 덕진구 금암동 1591-2,"근린생활시설, 단독주택",15,20001128
,전라북도 전주시 덕진구 금암동 1591-20,단독주택,8,20110927
,전라북도 전주시 덕진구 금암동 1591-22,"주택, 다세대주택(3세대), 변소, 창고",3,19860721
,전라북도 전주시 덕진구 금암동 1591-26,단독주택,4,19910529
,전라북도 전주시 덕진구 금암동 1591-3,"다세대주택, 점포",0,19901025
,전라북도 전주시 덕진구 금암동 1592-1,다가구주택,11,20140901
,전라북도 전주시 덕진구 금암동 1592-10,단독주택,9,19961128
,전라북도 전주시 덕진구 금암동 1592-13,"단독주택,제2종근린생활시설",11,20040105
,전라북도 전주시 덕진구 금암동 1592-15,"다세대주택(3세대), 창고",6,19891004
,전라북도 전주시 덕진구 금암동 1592-16,"다세대주택(2세대), 창고",0,19900817
,전라북도 전주시 덕진구 금암동 1592-17,단독다가구주택(3가구),3,19910605
,전라북도 전주시 덕진구 금암동 1592-18,다세대주택,2,19890523
,전라북도 전주시 덕진구 금암동 1592-2,"주택, 변소, 창고",4,19811007
,전라북도 전주시 덕진구 금암동 1592-22,단독주택,14,20100805
,전라북도 전주시 덕진구 금암동 1592-25,단독주택,11,20130718
,전라북도 전주시 덕진구 금암동 1592-30,단독주택,8,20120202
,전라북도 전주시 덕진구 금암동 1592-4,단독주택,9,20070205
,전라북도 전주시 덕진구 금암동 1592-6,단독주택,14,20121021
,전라북도 전주시 덕진구 금암동 1592-8,단독주택,18,20010919
,전라북도 전주시 덕진구 금암동 1594-8,"제1종근린생활시설, 단독주택(다가구주택,12가구)",12,20030403
,전라북도 전주시 덕진구 금암동 1595-16,단독주택,19,20110921
,전라북도 전주시 덕진구 금암동 1595-5,다가구주택,11,20081204
,전라북도 전주시 덕진구 금암동 1595-7,단독주택,11,20140711
,전라북도 전주시 덕진구 금암동 1596-11,단독주택,8,20061219
,전라북도 전주시 덕진구 금암동 1596-13,단독주택,7,20120911
,전라북도 전주시 덕진구 금암동 1596-14,단독주택,16,20110311
,전라북도 전주시 덕진구 금암동 1596-16,단독주택,11,20120120
,전라북도 전주시 덕진구 금암동 1596-25,단독주택,8,20060731
,전라북도 전주시 덕진구 금암동 1596-30,단독주택,18,20011228
,전라북도 전주시 덕진구 금암동 1596-32,단독주택,10,20130114
